Year;Month;Country;Branch_ID;Sales;Customers;Marketing_Spend
2022;Aug;UK;KFC_UK_01;206611;4568;23891
2018;May;India;KFC_IN_01;69645;1715;6190
2020;Nov;UK;KFC_UK_01;170226;4672;6706
2024;Dec;Australia;KFC_AU_01;90483;2363;17230
2019;Nov;UK;KFC_UK_01;94260;2207;28050
2022;May;USA;KFC_US_02;189992;5295;15257
2022;Sep;USA;KFC_US_03;99014;2540;7574
2024;May;Australia;KFC_AU_02;114899;2261;26720
2024;Oct;India;KFC_IN_02;194123;5778;15005
2022;Mar;UK;KFC_UK_02;163634;4182;29810
2018;Aug;India;KFC_IN_03;109067;2186;19441
2024;Mar;Canada;KFC_CA_02;90433;1846;23977
2019;May;Canada;KFC_CA_01;135809;3626;23403
2024;Jun;Australia;KFC_AU_02;181587;4365;11352
2022;Apr;UK;KFC_UK_01;201090;4176;21522
2023;May;India;KFC_IN_04;77166;2620;6426
2022;Mar;Canada;KFC_CA_02;164555;5157;20159
2019;May;UK;KFC_UK_02;107629;1988;20157
2022;Nov;India;KFC_IN_02;129818;2428;20558
2019;Dec;India;KFC_IN_02;173113;4375;19988
2022;May;Canada;KFC_CA_02;113315;3591;23540
2019;Nov;UK;KFC_UK_01;86516;2667;17174
2023;Aug;Canada;KFC_CA_01;259511;5801;10068
2020;Mar;USA;KFC_US_02;113103;3228;6579
2021;Dec;Australia;KFC_AU_01;144805;2715;28060
2024;Jul;UK;KFC_UK_02;67717;1860;15637
2022;Dec;USA;KFC_US_03;142933;3260;6013
2019;Nov;UK;KFC_UK_02;254973;5252;29137
2019;Feb;UK;KFC_UK_01;130683;4324;5287
2020;Jan;Canada;KFC_CA_01;122939;4038;5837
2019;Feb;India;KFC_IN_01;84526;2274;20854
2020;Sep;USA;KFC_US_02;284472;5910;24432
2022;Jan;Canada;KFC_CA_02;190524;5590;28414
2020;Nov;Australia;KFC_AU_02;71054;1922;5706
2024;Dec;India;KFC_IN_01;138966;4429;14954
2019;Oct;UK;KFC_UK_01;158111;5341;19245
2018;Nov;Australia;KFC_AU_02;99204;1788;29472
2024;Jan;UK;KFC_UK_01;192132;4401;16092
2022;Mar;Australia;KFC_AU_01;121634;3163;20418
2018;Nov;UK;KFC_UK_01;148928;5399;8554
2018;Feb;Canada;KFC_CA_02;195419;4885;24444
2018;Jul;USA;KFC_US_03;90196;2247;29527
2023;Aug;Australia;KFC_AU_01;255322;5573;15683
2018;Apr;Australia;KFC_AU_02;217888;4525;23313
2022;Apr;Canada;KFC_CA_02;120182;3755;26307
2019;Dec;USA;KFC_US_01;112363;1919;29846
2020;Nov;India;KFC_IN_02;127391;4490;15141
2024;Dec;Australia;KFC_AU_01;158736;4069;12252
2022;Oct;UK;KFC_UK_01;156294;4284;10638
2021;Nov;Australia;KFC_AU_01;70027;1525;9027
2020;Oct;Canada;KFC_CA_02;141835;4522;19741
2018;Oct;India;KFC_IN_03;241846;5846;19698
2018;Nov;USA;KFC_US_02;144743;3914;19495
2021;May;USA;KFC_US_02;223536;5942;27450
2024;Jul;India;KFC_IN_02;89062;2359;13574
2020;Apr;UK;KFC_UK_02;205782;5710;5932
2020;Mar;India;KFC_IN_04;187799;5385;15479
2019;Jul;Australia;KFC_AU_02;107897;3169;28672
2022;Oct;UK;KFC_UK_01;209187;5857;27620
2022;May;USA;KFC_US_03;247604;5897;23518
